loan_paid_back,education_level,monthly_income,employment_status,debt_to_income_ratio,credit_score,loan_amount,interest_rate,loan_term,installment,num_of_open_accounts,total_credit_limit,current_balance,delinquency_history,public_records,num_of_delinquencies
1,Master's,2020.02,Employed,0.07,743,17173.72,13.39,36,581.88,7,40833.47,24302.07,1,0,1
1,Bachelor's,1681.08,Employed,0.22,531,22663.89,17.81,60,573.17,5,27968.01,10803.01,1,0,3
1,"High School",2181.82,Employed,0.23,779,3631.36,9.53,60,76.32,2,15502.25,4505.44,0,0,0
1,"High School",989.49,Employed,0.26,809,14939.23,7.99,36,468.07,7,18157.79,5525.63,4,0,5
1,Other,2110.54,Employed,0.26,663,16551.71,15.20,60,395.50,1,17467.56,3593.91,2,0,2
1,"High School",4629.98,Employed,0.08,774,12724.02,12.73,60,287.75,3,76147.61,14885.25,0,0,1
0,Bachelor's,2053.57,Unemployed,0.17,742,5905.27,12.48,36,197.50,6,18380.15,12683.33,3,0,3
1,Bachelor's,4384.22,Employed,0.14,810,15136.35,8.45,36,477.47,4,75260.33,13768.13,0,0,0
1,"High School",5243.50,Employed,0.07,724,500.00,9.95,36,16.12,6,42759.40,15596.93,3,0,4
0,"High School",4453.32,Employed,0.38,796,14712.38,11.81,36,487.33,4,40629.06,15965.92,2,0,2
1,"High School",3088.96,Self-employed,0.17,722,24847.59,15.16,36,863.30,3,31600.70,16748.87,1,0,2
1,Bachelor's,6125.08,Employed,0.17,687,500.00,12.82,36,16.80,6,77679.01,53010.23,1,0,2
1,Master's,5940.41,Employed,0.31,738,16352.99,10.22,36,529.36,2,57020.85,36722.12,0,0,0
1,Bachelor's,1980.26,Employed,0.27,637,18191.26,14.32,36,624.57,5,28673.92,4814.55,4,0,4
1,Bachelor's,1799.83,Employed,0.15,764,14908.25,8.50,36,470.62,8,30287.45,4164.77,0,0,1
0,Bachelor's,2323.09,Student,0.27,618,15819.70,12.33,36,527.94,4,36113.16,32635.74,6,0,6
1,Master's,2511.50,Employed,0.06,720,10886.60,14.09,36,372.55,1,39076.27,4781.56,1,0,1
1,Bachelor's,6113.05,Employed,0.09,589,28579.38,15.89,60,693.33,5,102355.50,38663.29,4,0,5
1,"High School",4886.10,Employed,0.21,578,16116.67,17.24,60,402.62,4,86242.85,65905.57,5,0,5
1,Bachelor's,3281.93,Employed,0.23,732,19078.95,12.79,60,432.06,3,30102.24,13122.81,2,0,2
0,Master's,3353.77,Employed,0.11,564,9831.78,15.51,36,343.28,2,56819.25,41201.70,1,0,2
1,Master's,1572.93,Employed,0.16,694,9607.62,12.14,36,319.75,5,25809.11,21463.92,4,0,5
1,PhD,5853.84,Employed,0.10,440,8853.43,14.32,36,303.97,4,79490.56,59161.78,4,0,4
1,"High School",3368.51,Employed,0.07,753,19415.58,11.79,36,642.93,6,65806.15,48129.85,2,1,2
1,Other,1613.67,Self-employed,0.14,619,18128.74,13.84,36,618.19,8,25883.17,15321.34,4,0,4
