,loan_paid_back,education_level,monthly_income,employment_status,debt_to_income_ratio,credit_score,loan_amount,interest_rate,loan_term,installment,num_of_open_accounts,total_credit_limit,current_balance,delinquency_history,public_records,num_of_delinquencies,income_to_loan_ratio,utilization_ratio,education_encoded,employment_encoded
0,1,Master's,2020.02,Employed,0.07,743,17173.72,13.39,36,581.88,7,40833.47,24302.07,1,0,1,1.41147287832805,7.141808913129351,2,0
1,1,Bachelor's,1681.08,Employed,0.22,531,22663.89,17.81,60,573.17,5,27968.01,10803.01,1,0,3,0.8900925657510692,4.635157095553098,0,0
2,1,High School,2181.82,Employed,0.23,779,3631.36,9.53,60,76.32,2,15502.25,4505.44,0,0,0,7.209926859358478,3.4875763195665144,1,0
3,1,High School,989.49,Employed,0.26,809,14939.23,7.99,36,468.07,7,18157.79,5525.63,4,0,5,0.7948120485460095,3.651741759322032,1,0
4,1,Other,2110.54,Employed,0.26,663,16551.71,15.2,60,395.5,1,17467.56,3593.91,2,0,2,1.5301428069969811,2.46897219760516,3,0
5,1,High School,4629.98,Employed,0.08,774,12724.02,12.73,60,287.75,3,76147.61,14885.25,0,0,1,4.366525673489981,2.3457466360401855,1,0
6,0,Bachelor's,2053.57,Unemployed,0.17,742,5905.27,12.48,36,197.5,6,18380.15,12683.33,3,0,3,4.173025111468231,8.280670179514312,0,4
7,1,Bachelor's,4384.22,Employed,0.14,810,15136.35,8.45,36,477.47,4,75260.33,13768.13,0,0,0,3.4757811493523865,2.195280833873569,0,0
8,1,High School,5243.5,Employed,0.07,724,500.0,9.95,36,16.12,6,42759.4,15596.93,3,0,4,125.844,4.377123158884362,1,0
9,0,High School,4453.32,Employed,0.38,796,14712.38,11.81,36,487.33,4,40629.06,15965.92,2,0,2,3.632304222702241,4.715615867066578,1,0
10,1,High School,3088.96,Self-employed,0.17,722,24847.59,15.16,36,863.3,3,31600.7,16748.87,1,0,2,1.4917953813629412,6.360189489473334,1,2
11,1,Bachelor's,6125.08,Employed,0.17,687,500.0,12.82,36,16.8,6,77679.01,53010.23,1,0,2,147.00191999999998,8.189120329932114,0,0
12,1,Master's,5940.41,Employed,0.31,738,16352.99,10.22,36,529.36,2,57020.85,36722.12,0,0,0,4.3591367694837455,7.728145757209864,2,0
13,1,Bachelor's,1980.26,Employed,0.27,637,18191.26,14.32,36,624.57,5,28673.92,4814.55,4,0,4,1.3062932419194713,2.014883210945696,0,0
14,1,Bachelor's,1799.83,Employed,0.15,764,14908.25,8.5,36,470.62,8,30287.45,4164.77,0,0,1,1.44872537018094,1.6500973175358111,0,0
15,0,Bachelor's,2323.09,Student,0.27,618,15819.7,12.33,36,527.94,4,36113.16,32635.74,6,0,6,1.7621750096398794,10.844492146353295,0,3
16,1,Master's,2511.5,Employed,0.06,720,10886.6,14.09,36,372.55,1,39076.27,4781.56,1,0,1,2.768357430235335,1.4683776112714957,2,0
17,1,Bachelor's,6113.05,Employed,0.09,589,28579.38,15.89,60,693.33,5,102355.5,38663.29,4,0,5,2.566766668836063,4.53282412767267,0,0
18,1,High School,4886.1,Employed,0.21,578,16116.67,17.24,60,402.62,4,86242.85,65905.57,5,0,5,3.638046817363637,9.170230807539408,1,0
19,1,Bachelor's,3281.93,Employed,0.23,732,19078.95,12.79,60,432.06,3,30102.24,13122.81,2,0,2,2.0642205152799287,5.231295744104093,0,0
20,0,Master's,3353.77,Employed,0.11,564,9831.78,15.51,36,343.28,2,56819.25,41201.7,1,0,2,4.093382886923832,8.701635449253553,2,0
21,1,Master's,1572.93,Employed,0.16,694,9607.62,12.14,36,319.75,5,25809.11,21463.92,4,0,5,1.9646030962923178,9.979694766692845,2,0
22,1,PhD,5853.84,Employed,0.1,440,8853.43,14.32,36,303.97,4,79490.56,59161.78,4,0,4,7.934335054323578,8.931140502721329,4,0
23,1,High School,3368.51,Employed,0.07,753,19415.58,11.79,36,642.93,6,65806.15,48129.85,2,1,2,2.081942440040421,8.776659932240376,1,0
24,1,Other,1613.67,Self-employed,0.14,619,18128.74,13.84,36,618.19,8,25883.17,15321.34,4,0,4,1.0681404223349222,7.103306125177095,3,2
25,1,High School,1101.71,Self-employed,0.12,709,9692.3,13.68,36,329.76,6,23805.97,19098.49,2,0,3,1.3640229873198313,9.627075897348439,1,2
26,1,High School,1411.39,Employed,0.43,705,18627.46,13.52,36,632.31,3,25978.62,15219.35,1,0,1,0.9092318544772073,7.030096286869742,1,0
27,1,Bachelor's,3163.11,Employed,0.14,739,9656.48,8.71,36,305.77,4,46657.36,37539.24,2,0,3,3.9307615197256145,9.654872886078424,0,0
28,1,High School,657.01,Employed,0.22,692,5772.28,12.26,36,192.44,9,18319.12,16782.77,0,0,1,1.365858898043754,10.993608863307845,1,0
